City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,shimoda,34.6667,138.95,45.55,68,25,9.22,JP,1675540489
339,saint-augustin,51.226,-58.6502,9.0,73,81,25.05,CA,1675540489
340,sutysky,49.0425,28.4173,23.81,74,100,12.03,UA,1675540489
341,bandar-e lengeh,26.5579,54.8807,66.22,69,9,14.09,IR,1675540490
342,south jordan,40.5622,-111.9297,46.17,53,0,13.0,US,1675540490
343,pushkino,56.0172,37.8667,28.69,98,98,3.67,RU,1675540491
344,caibarien,22.5206,-79.4669,85.32,67,5,13.98,CU,1675540491
345,beloha,-25.1667,45.05,73.65,82,100,15.68,MG,1675540492
346,marawi,7.9986,124.2928,66.88,90,100,1.57,PH,1675540492
347,zonguldak,41.25,31.8333,30.04,75,99,4.34,TR,1675540492
348,hasaki,35.7333,140.8333,37.22,56,2,17.2,JP,1675540493
349,walvis bay,-22.9575,14.5053,65.08,78,100,13.85,NA,1675540493
350,auki,-8.7676,160.7034,79.66,86,100,5.08,SB,1675540494
351,ishinomaki,38.4167,141.3,30.18,79,8,11.43,JP,1675540494
352,kailua,21.4022,-157.7394,72.48,90,100,8.01,US,1675540465
353,thompson,55.7435,-97.8558,-5.64,77,40,3.44,CA,1675540495
354,bodmin,50.4715,-4.7243,48.67,87,100,6.91,GB,1675540496
355,pradopolis,-21.3594,-48.0656,87.98,92,100,4.07,BR,1675540496
356,murud,18.3258,72.965,73.15,60,1,4.7,IN,1675540496
357,lompoc,34.6391,-120.4579,67.69,67,0,3.44,US,1675540497
358,fukuma,33.7667,130.4667,35.15,59,8,5.26,JP,1675540497
359,ingham,42.6,-84.3833,31.17,57,0,8.05,US,1675540497
360,suntar,62.1444,117.6319,-42.74,100,99,3.44,RU,1675540498
361,mubi,10.2676,13.2644,79.02,14,59,5.48,NG,1675540498
362,kaputa,-8.4689,29.6619,69.15,88,100,4.88,ZM,1675540499
363,kulhudhuffushi,6.6221,73.07,80.33,77,100,4.85,MV,1675540499
364,zhoucheng,35.9122,116.3117,33.22,67,0,6.76,CN,1675540499
365,bundaberg,-24.85,152.35,76.21,91,68,1.99,AU,1675540500
366,victoria,22.2855,114.1577,64.45,85,100,8.99,HK,1675540500
367,onega,63.9061,38.1404,3.33,100,100,2.35,RU,1675540501
368,alta,69.9689,23.2717,18.66,93,100,3.44,NO,1675540501
369,airai,-8.9266,125.4092,60.24,91,100,2.1,TL,1675540502
370,bonavista,48.6499,-53.1147,9.07,78,87,36.69,CA,1675540503
371,felipe carrillo puerto,19.5833,-88.05,77.07,84,59,4.14,MX,1675540504
372,sao jose da coroa grande,-8.8978,-35.1478,80.92,74,56,9.13,BR,1675540509
373,manakara,-22.1333,48.0167,74.55,90,100,4.99,MG,1675540513
374,mezen,65.8522,44.24,-0.67,99,78,4.63,RU,1675540517
375,burnie,-41.0667,145.9167,54.25,77,6,10.18,AU,1675540528
376,qaqortoq,60.7167,-46.0333,26.35,81,100,28.68,GL,1675540540
377,camacha,33.0833,-16.3333,58.42,63,40,14.97,PT,1675540553
378,prado,-17.3411,-39.2208,81.16,77,9,13.29,BR,1675540554
